date,off_impact,on_impact,weekend_impact,building_name
2024-01-01,21.217414417045212,78.7825855829548,,DU_1
2024-01-02,17.1803052177183,82.8196947822817,,DU_1
2024-01-06,55.864284685482225,44.13571531451778,44.13571531451778,DU_1
2024-01-08,29.341203263003408,70.65879673699659,,DU_1
2024-01-10,15.86979287151536,84.13020712848464,,DU_1
2024-01-11,17.64342390350858,82.3565760964914,,DU_1
2024-01-12,25.364547102627622,74.63545289737237,,DU_1
2024-01-13,22.6526788027188,77.34732119728119,77.34732119728119,DU_1
2024-01-14,36.8166826250133,63.18331737498668,63.18331737498668,DU_1
2024-01-15,63.37702773121724,36.62297226878279,,DU_1
2024-01-16,22.132170519885012,77.86782948011496,,DU_1
2024-01-17,71.20654894841985,28.793451051580156,,DU_1
2024-01-18,55.419766676114754,44.58023332388527,,DU_1
2024-01-19,42.339682964752114,57.66031703524788,,DU_1
2024-01-20,61.902711155680144,38.09728884431986,38.09728884431986,DU_1
2024-01-22,50.336251889991466,49.66374811000853,,DU_1
2024-01-24,31.06311032475977,68.93688967524022,,DU_1
2024-01-27,37.12364518367634,62.876354816323655,62.876354816323655,DU_1
2024-01-28,16.33506172013159,83.66493827986841,83.66493827986841,DU_1
2024-01-29,43.478443717514494,56.521556282485506,,DU_1
2024-01-31,7.654329374142136,92.34567062585785,,DU_1
2024-02-21,30.838656192395508,69.16134380760448,,DU_1
2024-02-24,15.653938248453766,84.34606175154623,84.34606175154623,DU_1
2024-02-26,36.943365977139536,63.05663402286048,,DU_1
2024-02-27,13.83673117807519,86.16326882192482,,DU_1
2024-03-01,12.355153633528007,87.64484636647201,,DU_1
2024-03-02,48.32578412119258,51.67421587880744,51.67421587880744,DU_1
2024-03-03,21.92845161808509,78.07154838191491,78.07154838191491,DU_1
2024-03-04,12.073387494780203,87.92661250521981,,DU_1
2024-03-05,20.469787138809803,79.5302128611902,,DU_1
2024-03-06,16.713137336057095,83.2868626639429,,DU_1
2024-03-07,34.31237141070904,65.68762858929095,,DU_1
2024-03-08,26.067517307768746,73.93248269223126,,DU_1
2024-03-09,25.69114414320109,74.3088558567989,74.3088558567989,DU_1
2024-03-10,12.869358058648345,87.13064194135163,87.13064194135163,DU_1
2024-03-12,17.486525596708677,82.51347440329131,,DU_1
2024-03-13,23.880481421791945,76.11951857820804,,DU_1
2024-03-14,30.109361386955065,69.89063861304493,,DU_1
2024-03-16,49.341679472066964,50.65832052793304,50.65832052793304,DU_1
2024-03-17,40.018580576778085,59.981419423221915,59.981419423221915,DU_1
2024-03-18,18.66862030577441,81.33137969422557,,DU_1
2024-03-19,31.849662432776277,68.15033756722372,,DU_1
2024-03-20,47.072799149973434,52.927200850026566,,DU_1
2024-03-21,37.00956889786028,62.99043110213972,,DU_1
2024-03-22,75.22101428463574,24.77898571536425,,DU_1
2024-03-23,76.773246343031,23.226753656969,23.226753656969,DU_1
2024-03-24,61.492789423428164,38.50721057657184,38.50721057657184,DU_1
2024-03-25,27.38603233062784,72.61396766937214,,DU_1
2024-03-26,58.61397279224375,41.38602720775627,,DU_1
2024-03-27,58.527968874550986,41.47203112544902,,DU_1
2024-03-28,27.34467480776624,72.65532519223376,,DU_1
2024-03-29,69.30502478460234,30.69497521539768,,DU_1
2024-03-30,39.371774060148,60.62822593985201,60.62822593985201,DU_1
2024-03-31,59.29236608535692,40.70763391464308,40.70763391464308,DU_1
2024-04-01,40.43547287213971,59.56452712786029,,DU_1
2024-04-03,25.81896672074095,74.18103327925904,,DU_1
2024-04-04,53.02298381404075,46.97701618595925,,DU_1
2024-04-05,77.32958419909515,22.670415800904863,,DU_1
2024-04-07,45.124428308274396,54.8755716917256,54.8755716917256,DU_1
2024-04-09,69.95504576174173,30.04495423825827,,DU_1
2024-04-10,85.29926437149481,14.700735628505182,,DU_1
2024-04-11,83.02644599991474,16.973554000085255,,DU_1
2024-04-12,88.62574579765382,11.37425420234619,,DU_1
2024-04-13,64.2452401868732,35.75475981312679,35.75475981312679,DU_1
2024-04-14,69.85489862473135,30.145101375268652,30.145101375268652,DU_1
2024-04-15,77.080215415231,22.919784584768994,,DU_1
2024-04-16,77.46173598714016,22.538264012859866,,DU_1
2024-04-17,46.22134569927422,53.77865430072579,,DU_1
2024-04-18,31.472446917413926,68.52755308258608,,DU_1
2024-04-19,14.00856851313522,85.99143148686478,,DU_1
2024-04-20,24.391770718200576,75.60822928179944,75.60822928179944,DU_1
2024-04-21,35.512444636860096,64.4875553631399,64.4875553631399,DU_1
2024-04-22,20.535025713438927,79.46497428656107,,DU_1
2024-04-23,28.560038118471542,71.43996188152848,,DU_1
2024-04-24,6.8802380842068755,93.11976191579312,,DU_1
2024-04-26,24.0289512751943,75.97104872480568,,DU_1
2024-04-27,51.85219505919576,48.14780494080423,48.14780494080423,DU_1
2024-04-28,89.56229697249104,10.437703027508958,10.437703027508958,DU_1
2024-04-29,93.5471714564362,6.4528285435638,,DU_1
2024-04-30,63.26446767583205,36.73553232416798,,DU_1
2024-05-01,51.79336415723318,48.20663584276683,,DU_1
2024-05-02,34.49144185309452,65.50855814690547,,DU_1
2024-05-03,50.61030613316091,49.38969386683909,,DU_1
2024-05-04,69.0686687684073,30.9313312315927,30.9313312315927,DU_1
2024-05-05,50.95731779833862,49.042682201661385,49.042682201661385,DU_1
2024-05-06,94.00696669875809,5.993033301241923,,DU_1
2024-05-07,82.7242112090209,17.275788790979103,,DU_1
2024-05-09,72.04580205675755,27.95419794324246,,DU_1
2024-05-10,53.210186434987264,46.78981356501272,,DU_1
