air_temp,dni,ghi,period_end,period
15,0,0,2024-06-01T00:15:00+00:00,PT15M
15,0,0,2024-06-01T00:30:00+00:00,PT15M
14,0,0,2024-06-01T00:45:00+00:00,PT15M
14,0,0,2024-06-01T01:00:00+00:00,PT15M
14,0,0,2024-06-01T01:15:00+00:00,PT15M
14,0,0,2024-06-01T01:30:00+00:00,PT15M
14,0,0,2024-06-01T01:45:00+00:00,PT15M
14,0,0,2024-06-01T02:00:00+00:00,PT15M
14,0,0,2024-06-01T02:15:00+00:00,PT15M
14,0,0,2024-06-01T02:30:00+00:00,PT15M
14,0,0,2024-06-01T02:45:00+00:00,PT15M
14,0,0,2024-06-01T03:00:00+00:00,PT15M
14,0,0,2024-06-01T03:15:00+00:00,PT15M
14,0,0,2024-06-01T03:30:00+00:00,PT15M
14,0,0,2024-06-01T03:45:00+00:00,PT15M
14,0,9,2024-06-01T04:00:00+00:00,PT15M
15,0,27,2024-06-01T04:15:00+00:00,PT15M
15,37,54,2024-06-01T04:30:00+00:00,PT15M
15,108,85,2024-06-01T04:45:00+00:00,PT15M
15,146,118,2024-06-01T05:00:00+00:00,PT15M
16,98,143,2024-06-01T05:15:00+00:00,PT15M
16,156,182,2024-06-01T05:30:00+00:00,PT15M
17,426,258,2024-06-01T05:45:00+00:00,PT15M
17,527,312,2024-06-01T06:00:00+00:00,PT15M
18,496,347,2024-06-01T06:15:00+00:00,PT15M
18,562,396,2024-06-01T06:30:00+00:00,PT15M
18,294,376,2024-06-01T06:45:00+00:00,PT15M
19,376,431,2024-06-01T07:00:00+00:00,PT15M
19,487,494,2024-06-01T07:15:00+00:00,PT15M
20,590,556,2024-06-01T07:30:00+00:00,PT15M
20,695,619,2024-06-01T07:45:00+00:00,PT15M
20,804,683,2024-06-01T08:00:00+00:00,PT15M
21,840,728,2024-06-01T08:15:00+00:00,PT15M
21,856,765,2024-06-01T08:30:00+00:00,PT15M
21,869,799,2024-06-01T08:45:00+00:00,PT15M
22,883,831,2024-06-01T09:00:00+00:00,PT15M
22,896,861,2024-06-01T09:15:00+00:00,PT15M
22,907,888,2024-06-01T09:30:00+00:00,PT15M
22,916,911,2024-06-01T09:45:00+00:00,PT15M
23,921,931,2024-06-01T10:00:00+00:00,PT15M
23,924,947,2024-06-01T10:15:00+00:00,PT15M
23,926,959,2024-06-01T10:30:00+00:00,PT15M
23,929,968,2024-06-01T10:45:00+00:00,PT15M
23,931,973,2024-06-01T11:00:00+00:00,PT15M
23,933,975,2024-06-01T11:15:00+00:00,PT15M
23,934,974,2024-06-01T11:30:00+00:00,PT15M
23,931,968,2024-06-01T11:45:00+00:00,PT15M
24,924,959,2024-06-01T12:00:00+00:00,PT15M
24,916,946,2024-06-01T12:15:00+00:00,PT15M
24,908,930,2024-06-01T12:30:00+00:00,PT15M
24,901,911,2024-06-01T12:45:00+00:00,PT15M
24,896,889,2024-06-01T13:00:00+00:00,PT15M
24,891,864,2024-06-01T13:15:00+00:00,PT15M
24,884,837,2024-06-01T13:30:00+00:00,PT15M
24,876,806,2024-06-01T13:45:00+00:00,PT15M
24,867,773,2024-06-01T14:00:00+00:00,PT15M
24,858,738,2024-06-01T14:15:00+00:00,PT15M
24,847,700,2024-06-01T14:30:00+00:00,PT15M
24,834,660,2024-06-01T14:45:00+00:00,PT15M
24,820,618,2024-06-01T15:00:00+00:00,PT15M
24,803,575,2024-06-01T15:15:00+00:00,PT15M
24,785,530,2024-06-01T15:30:00+00:00,PT15M
24,764,484,2024-06-01T15:45:00+00:00,PT15M
24,740,437,2024-06-01T16:00:00+00:00,PT15M
23,713,390,2024-06-01T16:15:00+00:00,PT15M
23,681,342,2024-06-01T16:30:00+00:00,PT15M
23,644,294,2024-06-01T16:45:00+00:00,PT15M
23,597,247,2024-06-01T17:00:00+00:00,PT15M
23,532,199,2024-06-01T17:15:00+00:00,PT15M
23,425,151,2024-06-01T17:30:00+00:00,PT15M
22,411,114,2024-06-01T17:45:00+00:00,PT15M
22,319,75,2024-06-01T18:00:00+00:00,PT15M
21,183,41,2024-06-01T18:15:00+00:00,PT15M
21,18,14,2024-06-01T18:30:00+00:00,PT15M
20,0,1,2024-06-01T18:45:00+00:00,PT15M
20,0,0,2024-06-01T19:00:00+00:00,PT15M
19,0,0,2024-06-01T19:15:00+00:00,PT15M
19,0,0,2024-06-01T19:30:00+00:00,PT15M
18,0,0,2024-06-01T19:45:00+00:00,PT15M
18,0,0,2024-06-01T20:00:00+00:00,PT15M
18,0,0,2024-06-01T20:15:00+00:00,PT15M
18,0,0,2024-06-01T20:30:00+00:00,PT15M
17,0,0,2024-06-01T20:45:00+00:00,PT15M
17,0,0,2024-06-01T21:00:00+00:00,PT15M
17,0,0,2024-06-01T21:15:00+00:00,PT15M
17,0,0,2024-06-01T21:30:00+00:00,PT15M
16,0,0,2024-06-01T21:45:00+00:00,PT15M
16,0,0,2024-06-01T22:00:00+00:00,PT15M
16,0,0,2024-06-01T22:15:00+00:00,PT15M
16,0,0,2024-06-01T22:30:00+00:00,PT15M
15,0,0,2024-06-01T22:45:00+00:00,PT15M
15,0,0,2024-06-01T23:00:00+00:00,PT15M
15,0,0,2024-06-01T23:15:00+00:00,PT15M
15,0,0,2024-06-01T23:30:00+00:00,PT15M
15,0,0,2024-06-01T23:45:00+00:00,PT15M
15,0,0,2024-06-02T00:00:00+00:00,PT15M
15,0,0,2024-06-02T00:15:00+00:00,PT15M
15,0,0,2024-06-02T00:30:00+00:00,PT15M
15,0,0,2024-06-02T00:45:00+00:00,PT15M
15,0,0,2024-06-02T01:00:00+00:00,PT15M
15,0,0,2024-06-02T01:15:00+00:00,PT15M
15,0,0,2024-06-02T01:30:00+00:00,PT15M
15,0,0,2024-06-02T01:45:00+00:00,PT15M
15,0,0,2024-06-02T02:00:00+00:00,PT15M
15,0,0,2024-06-02T02:15:00+00:00,PT15M
15,0,0,2024-06-02T02:30:00+00:00,PT15M
14,0,0,2024-06-02T02:45:00+00:00,PT15M
14,0,0,2024-06-02T03:00:00+00:00,PT15M
14,0,0,2024-06-02T03:15:00+00:00,PT15M
14,0,0,2024-06-02T03:30:00+00:00,PT15M
14,0,0,2024-06-02T03:45:00+00:00,PT15M
14,0,6,2024-06-02T04:00:00+00:00,PT15M
15,0,22,2024-06-02T04:15:00+00:00,PT15M
15,0,47,2024-06-02T04:30:00+00:00,PT15M
15,0,57,2024-06-02T04:45:00+00:00,PT15M
15,0,70,2024-06-02T05:00:00+00:00,PT15M
16,0,100,2024-06-02T05:15:00+00:00,PT15M
16,46,156,2024-06-02T05:30:00+00:00,PT15M
16,0,81,2024-06-02T05:45:00+00:00,PT15M
16,0,65,2024-06-02T06:00:00+00:00,PT15M
16,0,57,2024-06-02T06:15:00+00:00,PT15M
16,0,48,2024-06-02T06:30:00+00:00,PT15M
16,0,50,2024-06-02T06:45:00+00:00,PT15M
16,0,56,2024-06-02T07:00:00+00:00,PT15M
16,0,65,2024-06-02T07:15:00+00:00,PT15M
16,0,73,2024-06-02T07:30:00+00:00,PT15M
16,0,68,2024-06-02T07:45:00+00:00,PT15M
16,0,70,2024-06-02T08:00:00+00:00,PT15M
17,0,95,2024-06-02T08:15:00+00:00,PT15M
17,0,117,2024-06-02T08:30:00+00:00,PT15M
17,0,124,2024-06-02T08:45:00+00:00,PT15M
17,0,144,2024-06-02T09:00:00+00:00,PT15M
17,0,167,2024-06-02T09:15:00+00:00,PT15M
17,0,154,2024-06-02T09:30:00+00:00,PT15M
17,0,157,2024-06-02T09:45:00+00:00,PT15M
16,0,161,2024-06-02T10:00:00+00:00,PT15M
16,0,179,2024-06-02T10:15:00+00:00,PT15M
16,0,209,2024-06-02T10:30:00+00:00,PT15M
16,0,291,2024-06-02T10:45:00+00:00,PT15M
