timestamp,air_temp,dni,ghi
2024-03-01 00:15:00+00:00,9,0,0
2024-03-01 00:30:00+00:00,9,0,0
2024-03-01 00:45:00+00:00,9,0,0
2024-03-01 01:00:00+00:00,9,0,0
2024-03-01 01:15:00+00:00,9,0,0
2024-03-01 01:30:00+00:00,9,0,0
2024-03-01 01:45:00+00:00,9,0,0
2024-03-01 02:00:00+00:00,9,0,0
2024-03-01 02:15:00+00:00,9,0,0
2024-03-01 02:30:00+00:00,9,0,0
2024-03-01 02:45:00+00:00,9,0,0
2024-03-01 03:00:00+00:00,9,0,0
2024-03-01 03:15:00+00:00,9,0,0
2024-03-01 03:30:00+00:00,9,0,0
2024-03-01 03:45:00+00:00,9,0,0
2024-03-01 04:00:00+00:00,9,0,0
2024-03-01 04:15:00+00:00,9,0,0
2024-03-01 04:30:00+00:00,9,0,0
2024-03-01 04:45:00+00:00,9,0,0
2024-03-01 05:00:00+00:00,9,0,0
2024-03-01 05:15:00+00:00,9,0,0
2024-03-01 05:30:00+00:00,9,0,0
2024-03-01 05:45:00+00:00,9,0,0
2024-03-01 06:00:00+00:00,9,0,1
2024-03-01 06:15:00+00:00,9,0,6
2024-03-01 06:30:00+00:00,9,0,14
2024-03-01 06:45:00+00:00,9,0,38
2024-03-01 07:00:00+00:00,9,21,88
2024-03-01 07:15:00+00:00,10,50,131
2024-03-01 07:30:00+00:00,10,80,163
2024-03-01 07:45:00+00:00,10,227,218
2024-03-01 08:00:00+00:00,10,284,259
2024-03-01 08:15:00+00:00,11,156,266
2024-03-01 08:30:00+00:00,11,125,286
2024-03-01 08:45:00+00:00,11,155,319
2024-03-01 09:00:00+00:00,11,201,354
2024-03-01 09:15:00+00:00,11,0,241
2024-03-01 09:30:00+00:00,12,0,199
2024-03-01 09:45:00+00:00,12,0,159
2024-03-01 10:00:00+00:00,13,0,113
2024-03-01 10:15:00+00:00,13,0,157
2024-03-01 10:30:00+00:00,13,0,268
2024-03-01 10:45:00+00:00,12,79,414
2024-03-01 11:00:00+00:00,12,444,548
2024-03-01 11:15:00+00:00,12,375,531
2024-03-01 11:30:00+00:00,12,262,498
2024-03-01 11:45:00+00:00,12,185,471
2024-03-01 12:00:00+00:00,12,265,493
2024-03-01 12:15:00+00:00,12,49,387
2024-03-01 12:30:00+00:00,12,0,331
2024-03-01 12:45:00+00:00,12,0,258
2024-03-01 13:00:00+00:00,13,0,234
2024-03-01 13:15:00+00:00,13,0,234
2024-03-01 13:30:00+00:00,13,0,224
2024-03-01 13:45:00+00:00,12,0,197
2024-03-01 14:00:00+00:00,12,0,175
2024-03-01 14:15:00+00:00,12,0,185
2024-03-01 14:30:00+00:00,12,0,123
2024-03-01 14:45:00+00:00,12,0,93
2024-03-01 15:00:00+00:00,12,0,149
2024-03-01 15:15:00+00:00,12,0,162
2024-03-01 15:30:00+00:00,12,105,173
2024-03-01 15:45:00+00:00,12,250,163
2024-03-01 16:00:00+00:00,11,193,123
2024-03-01 16:15:00+00:00,11,235,94
2024-03-01 16:30:00+00:00,11,125,57
2024-03-01 16:45:00+00:00,11,0,16
2024-03-01 17:00:00+00:00,11,0,1
2024-03-01 17:15:00+00:00,11,0,0
2024-03-01 17:30:00+00:00,11,0,0
2024-03-01 17:45:00+00:00,10,0,0
2024-03-01 18:00:00+00:00,10,0,0
2024-03-01 18:15:00+00:00,10,0,0
2024-03-01 18:30:00+00:00,10,0,0
2024-03-01 18:45:00+00:00,10,0,0
2024-03-01 19:00:00+00:00,10,0,0
2024-03-01 19:15:00+00:00,10,0,0
2024-03-01 19:30:00+00:00,10,0,0
2024-03-01 19:45:00+00:00,10,0,0
2024-03-01 20:00:00+00:00,10,0,0
2024-03-01 20:15:00+00:00,10,0,0
2024-03-01 20:30:00+00:00,10,0,0
2024-03-01 20:45:00+00:00,10,0,0
2024-03-01 21:00:00+00:00,10,0,0
2024-03-01 21:15:00+00:00,10,0,0
2024-03-01 21:30:00+00:00,10,0,0
2024-03-01 21:45:00+00:00,10,0,0
2024-03-01 22:00:00+00:00,10,0,0
2024-03-01 22:15:00+00:00,10,0,0
2024-03-01 22:30:00+00:00,10,0,0
2024-03-01 22:45:00+00:00,10,0,0
2024-03-01 23:00:00+00:00,10,0,0
2024-03-01 23:15:00+00:00,10,0,0
2024-03-01 23:30:00+00:00,10,0,0
2024-03-01 23:45:00+00:00,10,0,0
2024-03-02 00:00:00+00:00,10,0,0
2024-03-02 00:15:00+00:00,10,0,0
2024-03-02 00:30:00+00:00,10,0,0
2024-03-02 00:45:00+00:00,10,0,0
2024-03-02 01:00:00+00:00,10,0,0
2024-03-02 01:15:00+00:00,10,0,0
2024-03-02 01:30:00+00:00,10,0,0
2024-03-02 01:45:00+00:00,10,0,0
2024-03-02 02:00:00+00:00,10,0,0
2024-03-02 02:15:00+00:00,10,0,0
2024-03-02 02:30:00+00:00,10,0,0
2024-03-02 02:45:00+00:00,10,0,0
2024-03-02 03:00:00+00:00,10,0,0
2024-03-02 03:15:00+00:00,10,0,0
2024-03-02 03:30:00+00:00,10,0,0
2024-03-02 03:45:00+00:00,10,0,0
2024-03-02 04:00:00+00:00,10,0,0
2024-03-02 04:15:00+00:00,10,0,0
2024-03-02 04:30:00+00:00,10,0,0
2024-03-02 04:45:00+00:00,10,0,0
2024-03-02 05:00:00+00:00,10,0,0
2024-03-02 05:15:00+00:00,10,0,0
2024-03-02 05:30:00+00:00,10,0,0
2024-03-02 05:45:00+00:00,10,0,0
2024-03-02 06:00:00+00:00,10,0,2
2024-03-02 06:15:00+00:00,10,0,10
2024-03-02 06:30:00+00:00,10,0,19
2024-03-02 06:45:00+00:00,10,0,57
2024-03-02 07:00:00+00:00,10,0,85
2024-03-02 07:15:00+00:00,10,0,119
2024-03-02 07:30:00+00:00,10,0,129
2024-03-02 07:45:00+00:00,11,0,157
2024-03-02 08:00:00+00:00,11,0,195
2024-03-02 08:15:00+00:00,11,36,240
2024-03-02 08:30:00+00:00,11,152,294
2024-03-02 08:45:00+00:00,12,44,288
2024-03-02 09:00:00+00:00,12,0,282
2024-03-02 09:15:00+00:00,12,65,336
2024-03-02 09:30:00+00:00,13,432,461
2024-03-02 09:45:00+00:00,13,556,513
