air_temp,dni,ghi,period_end,period
8,0,0,2024-12-01T00:15:00+00:00,PT15M
8,0,0,2024-12-01T00:30:00+00:00,PT15M
8,0,0,2024-12-01T00:45:00+00:00,PT15M
8,0,0,2024-12-01T01:00:00+00:00,PT15M
8,0,0,2024-12-01T01:15:00+00:00,PT15M
8,0,0,2024-12-01T01:30:00+00:00,PT15M
8,0,0,2024-12-01T01:45:00+00:00,PT15M
8,0,0,2024-12-01T02:00:00+00:00,PT15M
8,0,0,2024-12-01T02:15:00+00:00,PT15M
8,0,0,2024-12-01T02:30:00+00:00,PT15M
8,0,0,2024-12-01T02:45:00+00:00,PT15M
8,0,0,2024-12-01T03:00:00+00:00,PT15M
8,0,0,2024-12-01T03:15:00+00:00,PT15M
8,0,0,2024-12-01T03:30:00+00:00,PT15M
8,0,0,2024-12-01T03:45:00+00:00,PT15M
8,0,0,2024-12-01T04:00:00+00:00,PT15M
8,0,0,2024-12-01T04:15:00+00:00,PT15M
8,0,0,2024-12-01T04:30:00+00:00,PT15M
8,0,0,2024-12-01T04:45:00+00:00,PT15M
8,0,0,2024-12-01T05:00:00+00:00,PT15M
8,0,0,2024-12-01T05:15:00+00:00,PT15M
8,0,0,2024-12-01T05:30:00+00:00,PT15M
8,0,0,2024-12-01T05:45:00+00:00,PT15M
8,0,0,2024-12-01T06:00:00+00:00,PT15M
8,0,0,2024-12-01T06:15:00+00:00,PT15M
8,0,1,2024-12-01T06:30:00+00:00,PT15M
8,0,12,2024-12-01T06:45:00+00:00,PT15M
8,139,40,2024-12-01T07:00:00+00:00,PT15M
8,246,70,2024-12-01T07:15:00+00:00,PT15M
8,224,96,2024-12-01T07:30:00+00:00,PT15M
8,456,142,2024-12-01T07:45:00+00:00,PT15M
8,513,177,2024-12-01T08:00:00+00:00,PT15M
9,561,211,2024-12-01T08:15:00+00:00,PT15M
9,602,243,2024-12-01T08:30:00+00:00,PT15M
9,643,275,2024-12-01T08:45:00+00:00,PT15M
10,686,305,2024-12-01T09:00:00+00:00,PT15M
10,725,333,2024-12-01T09:15:00+00:00,PT15M
10,761,359,2024-12-01T09:30:00+00:00,PT15M
11,784,380,2024-12-01T09:45:00+00:00,PT15M
11,795,397,2024-12-01T10:00:00+00:00,PT15M
11,804,411,2024-12-01T10:15:00+00:00,PT15M
12,810,422,2024-12-01T10:30:00+00:00,PT15M
12,815,429,2024-12-01T10:45:00+00:00,PT15M
12,820,433,2024-12-01T11:00:00+00:00,PT15M
13,823,433,2024-12-01T11:15:00+00:00,PT15M
13,824,430,2024-12-01T11:30:00+00:00,PT15M
13,821,423,2024-12-01T11:45:00+00:00,PT15M
13,815,413,2024-12-01T12:00:00+00:00,PT15M
13,807,399,2024-12-01T12:15:00+00:00,PT15M
13,796,382,2024-12-01T12:30:00+00:00,PT15M
13,783,362,2024-12-01T12:45:00+00:00,PT15M
13,768,340,2024-12-01T13:00:00+00:00,PT15M
13,748,314,2024-12-01T13:15:00+00:00,PT15M
13,725,286,2024-12-01T13:30:00+00:00,PT15M
