air_temp,dni,ghi,period_end,period
13,0,0,2024-06-01T00:15:00+00:00,PT15M
12,0,0,2024-06-01T00:30:00+00:00,PT15M
12,0,0,2024-06-01T00:45:00+00:00,PT15M
12,0,0,2024-06-01T01:00:00+00:00,PT15M
12,0,0,2024-06-01T01:15:00+00:00,PT15M
12,0,0,2024-06-01T01:30:00+00:00,PT15M
12,0,0,2024-06-01T01:45:00+00:00,PT15M
12,0,0,2024-06-01T02:00:00+00:00,PT15M
12,0,0,2024-06-01T02:15:00+00:00,PT15M
12,0,0,2024-06-01T02:30:00+00:00,PT15M
11,0,0,2024-06-01T02:45:00+00:00,PT15M
11,0,0,2024-06-01T03:00:00+00:00,PT15M
11,0,0,2024-06-01T03:15:00+00:00,PT15M
11,0,0,2024-06-01T03:30:00+00:00,PT15M
12,0,1,2024-06-01T03:45:00+00:00,PT15M
12,2,12,2024-06-01T04:00:00+00:00,PT15M
12,96,35,2024-06-01T04:15:00+00:00,PT15M
12,98,58,2024-06-01T04:30:00+00:00,PT15M
13,179,89,2024-06-01T04:45:00+00:00,PT15M
13,402,137,2024-06-01T05:00:00+00:00,PT15M
14,572,188,2024-06-01T05:15:00+00:00,PT15M
14,619,230,2024-06-01T05:30:00+00:00,PT15M
15,655,274,2024-06-01T05:45:00+00:00,PT15M
15,694,319,2024-06-01T06:00:00+00:00,PT15M
16,724,364,2024-06-01T06:15:00+00:00,PT15M
16,750,408,2024-06-01T06:30:00+00:00,PT15M
17,772,453,2024-06-01T06:45:00+00:00,PT15M
17,789,496,2024-06-01T07:00:00+00:00,PT15M
18,805,539,2024-06-01T07:15:00+00:00,PT15M
18,819,580,2024-06-01T07:30:00+00:00,PT15M
18,832,621,2024-06-01T07:45:00+00:00,PT15M
19,844,659,2024-06-01T08:00:00+00:00,PT15M
19,856,696,2024-06-01T08:15:00+00:00,PT15M
20,865,731,2024-06-01T08:30:00+00:00,PT15M
20,874,764,2024-06-01T08:45:00+00:00,PT15M
20,882,794,2024-06-01T09:00:00+00:00,PT15M
21,888,822,2024-06-01T09:15:00+00:00,PT15M
21,893,846,2024-06-01T09:30:00+00:00,PT15M
22,898,868,2024-06-01T09:45:00+00:00,PT15M
22,901,886,2024-06-01T10:00:00+00:00,PT15M
22,904,902,2024-06-01T10:15:00+00:00,PT15M
23,907,915,2024-06-01T10:30:00+00:00,PT15M
23,908,925,2024-06-01T10:45:00+00:00,PT15M
23,907,931,2024-06-01T11:00:00+00:00,PT15M
23,906,934,2024-06-01T11:15:00+00:00,PT15M
24,904,934,2024-06-01T11:30:00+00:00,PT15M
24,902,930,2024-06-01T11:45:00+00:00,PT15M
24,900,923,2024-06-01T12:00:00+00:00,PT15M
25,897,913,2024-06-01T12:15:00+00:00,PT15M
25,894,900,2024-06-01T12:30:00+00:00,PT15M
25,889,884,2024-06-01T12:45:00+00:00,PT15M
25,883,865,2024-06-01T13:00:00+00:00,PT15M
25,876,843,2024-06-01T13:15:00+00:00,PT15M
26,869,818,2024-06-01T13:30:00+00:00,PT15M
26,861,791,2024-06-01T13:45:00+00:00,PT15M
26,854,761,2024-06-01T14:00:00+00:00,PT15M
26,845,730,2024-06-01T14:15:00+00:00,PT15M
26,835,696,2024-06-01T14:30:00+00:00,PT15M
26,824,660,2024-06-01T14:45:00+00:00,PT15M
26,810,622,2024-06-01T15:00:00+00:00,PT15M
26,793,582,2024-06-01T15:15:00+00:00,PT15M
26,775,540,2024-06-01T15:30:00+00:00,PT15M
26,755,497,2024-06-01T15:45:00+00:00,PT15M
26,735,454,2024-06-01T16:00:00+00:00,PT15M
26,710,410,2024-06-01T16:15:00+00:00,PT15M
26,683,365,2024-06-01T16:30:00+00:00,PT15M
25,625,317,2024-06-01T16:45:00+00:00,PT15M
25,505,261,2024-06-01T17:00:00+00:00,PT15M
25,532,228,2024-06-01T17:15:00+00:00,PT15M
25,135,145,2024-06-01T17:30:00+00:00,PT15M
24,0,66,2024-06-01T17:45:00+00:00,PT15M
24,5,66,2024-06-01T18:00:00+00:00,PT15M
23,106,62,2024-06-01T18:15:00+00:00,PT15M
22,37,31,2024-06-01T18:30:00+00:00,PT15M
21,0,7,2024-06-01T18:45:00+00:00,PT15M
21,0,1,2024-06-01T19:00:00+00:00,PT15M
20,0,0,2024-06-01T19:15:00+00:00,PT15M
20,0,0,2024-06-01T19:30:00+00:00,PT15M
20,0,0,2024-06-01T19:45:00+00:00,PT15M
20,0,0,2024-06-01T20:00:00+00:00,PT15M
19,0,0,2024-06-01T20:15:00+00:00,PT15M
19,0,0,2024-06-01T20:30:00+00:00,PT15M
19,0,0,2024-06-01T20:45:00+00:00,PT15M
19,0,0,2024-06-01T21:00:00+00:00,PT15M
19,0,0,2024-06-01T21:15:00+00:00,PT15M
18,0,0,2024-06-01T21:30:00+00:00,PT15M
18,0,0,2024-06-01T21:45:00+00:00,PT15M
18,0,0,2024-06-01T22:00:00+00:00,PT15M
18,0,0,2024-06-01T22:15:00+00:00,PT15M
18,0,0,2024-06-01T22:30:00+00:00,PT15M
17,0,0,2024-06-01T22:45:00+00:00,PT15M
17,0,0,2024-06-01T23:00:00+00:00,PT15M
17,0,0,2024-06-01T23:15:00+00:00,PT15M
17,0,0,2024-06-01T23:30:00+00:00,PT15M
17,0,0,2024-06-01T23:45:00+00:00,PT15M
17,0,0,2024-06-02T00:00:00+00:00,PT15M
17,0,0,2024-06-02T00:15:00+00:00,PT15M
17,0,0,2024-06-02T00:30:00+00:00,PT15M
17,0,0,2024-06-02T00:45:00+00:00,PT15M
17,0,0,2024-06-02T01:00:00+00:00,PT15M
17,0,0,2024-06-02T01:15:00+00:00,PT15M
16,0,0,2024-06-02T01:30:00+00:00,PT15M
16,0,0,2024-06-02T01:45:00+00:00,PT15M
16,0,0,2024-06-02T02:00:00+00:00,PT15M
16,0,0,2024-06-02T02:15:00+00:00,PT15M
16,0,0,2024-06-02T02:30:00+00:00,PT15M
16,0,0,2024-06-02T02:45:00+00:00,PT15M
16,0,0,2024-06-02T03:00:00+00:00,PT15M
16,0,0,2024-06-02T03:15:00+00:00,PT15M
15,0,0,2024-06-02T03:30:00+00:00,PT15M
15,0,1,2024-06-02T03:45:00+00:00,PT15M
15,0,12,2024-06-02T04:00:00+00:00,PT15M
15,28,31,2024-06-02T04:15:00+00:00,PT15M
16,231,64,2024-06-02T04:30:00+00:00,PT15M
16,313,98,2024-06-02T04:45:00+00:00,PT15M
16,384,135,2024-06-02T05:00:00+00:00,PT15M
16,390,169,2024-06-02T05:15:00+00:00,PT15M
17,421,208,2024-06-02T05:30:00+00:00,PT15M
