hour,LT,HT
3,14.12,18.53
4,28.55,36.97
5,54.54,72.64
6,106.27,139.48
7,186.49,247.97
8,308.06,410.1
9,371.98,494.64
10,558.47,748.87
11,634.62,850.29
12,633.49,853.7
13,516.32,688.16
14,309.63,407.32
15,263.47,346.08
16,115.46,151.63
17,75.68,100.31
18,37.52,49.73
