hour,LT,HT
0,82.95,107.58
1,138.61,177.0
2,187.43,239.24
3,202.89,263.72
4,167.08,215.64
5,172.73,218.87
6,224.13,287.95
7,658.54,874.8
8,1197.79,1581.89
9,1453.72,1915.91
10,1355.37,1793.69
11,1290.44,1706.32
12,1114.15,1486.17
13,1014.4,1339.57
14,603.32,791.21
15,400.02,525.76
16,233.55,305.3
17,179.55,231.1
18,158.79,205.23
19,140.77,182.1
20,156.24,203.57
21,163.25,213.72
22,166.02,216.89
23,167.38,219.52
