hour,LT,HT
4,120.55,162.16
5,313.97,428.32
6,514.75,696.13
7,838.62,1131.37
8,1073.11,1438.4
9,1255.16,1673.4
10,1452.63,1948.94
11,1563.76,2065.8
12,1475.42,1966.66
13,1230.57,1636.67
14,805.71,1075.63
15,485.47,649.14
16,337.29,441.06
17,233.27,311.29
18,122.83,165.51
