hour,LT,HT
0,34.97,44.77
1,64.7,84.54
2,81.65,105.89
3,96.06,123.5
4,153.61,205.75
5,360.57,486.87
6,454.01,599.63
7,550.51,730.13
8,610.48,803.34
9,738.87,981.95
10,813.44,1084.77
11,915.31,1215.42
12,795.99,1069.88
13,673.51,894.97
14,481.69,630.36
15,300.65,399.22
16,193.87,250.35
17,175.21,231.13
18,106.27,140.17
19,64.66,84.36
20,35.06,45.37
21,3.51,4.74
