,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
P0,0.11054789538074926,0.08001851668154614,0.08869821115630062,0.07456270872598618,0.19136659722911087,0.15322553979433257,0.07406672618457164,0.05935257745594021,0.09704725060344542,0.11870515491188043,0.07803458651588797,0.08586119101940945,0.09070859372416756,0.11176139933207684,0.07792547035677677,0.08696227226134973,0.0729094335879377,0.1548292166782396,0.18966372383692093,0.07522401878120556,0.05769930231789174,0.07720794894686374,0.14333895446880268,0.11214826571438019,0.11203914955526899,0.33579671328902555,0.1552689878649605,0.13021194987269782,0.13443110802499753,0.09924941308732602,0.16820421254505175,0.11665509374070032,0.07900009919650826,0.03471877789901795,0.0681413880898059,0.13240088615547396,0.10201699566841912,0.08216777436100915,0.06918956452732863,0.15508712759977517,0.09467645405548392,0.14967761134808052,0.09975862182984489,0.14423172304334886,0.1943358793770459,0.4500644777303839,0.14769368118242238,0.7129749032834044,0.7593691102073207,1.0,0.5830109446814139,0.20281056773468242,0.22855206163409714,0.06573421948880731,0.12608537512812887,0.12862480574017127,0.2036934166584003,0.08836755612869093,0.08081208874780943,0.043372019971563654,0.12855867473464933,0.13008960751248222,0.07969447475448865,0.09481863571735606,0.22112554971398338,0.1277419568164534,0.11330555831101412,0.11506794960817379,0.15650894421849681,0.12267301524319676,0.4131137783950005,0.46392884303805837,0.4668220745296432,0.31766359157490986,0.13815759018615878,0.12790728433025822,0.13160070098865853,0.1489600899381675,0.12779816817114703,0.10126310220546902,0.1547928446252025,0.17502562576463976,0.11184406308897926,0.09919650828290844,0.2339946433885527,0.13102205469034156,0.11424131203914954,0.10283371358661508,0.10341235988493204,0.06166716264920808,0.1544820288992494,0.12024931389081771,0.07715173759217009,0.08778890983037396,0.0966339318189333,0.11495883344906259
P1,0.20546113620156883,0.23825766579510343,0.2524364154979796,0.22982529118136444,0.24379011171856435,0.2601319229855004,0.17439980984074166,0.1971416686474923,0.269342762063228,0.262360351794628,0.2706798193487046,0.24597100071309727,0.17307463750891375,0.26919420014261947,0.2589434276206323,0.16416092227240317,0.37924887092940346,0.21874257190396962,0.09440218683147138,0.05140242453054434,0.22571903969574525,0.10398145947230808,0.0029474685048727855,0.0053838840028523575,0.04140420727359161,0.07742453054433086,0.24179938198241036,0.4364570953173284,0.20641787497028746,0.294883527454243,0.23074043261231283,0.2383289755169955,0.21880199667221303,0.1992750178274306,0.2660981697171381,0.21508794865700018,0.26513548847159507,0.22643213691466604,0.26511766104112205,0.30380318516757804,0.19005229379605432,0.20350606132636087,0.16414309484192977,0.1671678155455191,0.1637746612788207,0.24888875683384834,0.18923817447111949,1.0,0.7406881388162586,0.6463097218920848,0.4382933206560495,0.5894402186831471,0.15852745424292847,0.2722605181839793,0.13333135250772518,0.08692060850962681,0.3760161635369624,0.5449726646066081,0.5670846208699787,0.5062277157119088,0.40833135250772534,0.146000713097219,0.2188019966722129,0.16031613976705492,0.2328440694081293,0.22634299976230096,0.2563109103874496,0.16356667458996912,0.2760280484906109,0.3245305443308772,0.1556750653672451,0.1312514856192061,0.2631031613976706,0.2622177323508439,0.2854349893035418,0.2215355360114096,0.2090741621107678,0.27038269550748756,0.18220822438792492,0.18807939149037323,0.15197884478250537,0.18482885666745902,0.17536843356310913,0.2341335868790112,0.2187544568576183,0.18434751604468746,0.14425362491086288,0.08557166627050156,0.21111243166151655,0.17500594247682436,0.14187663418112673,0.23576776800570481,0.19708818635607325,0.18787734727834565,0.13147729973853103,0.11558117423342051
P2,0.12331632340216792,0.1733241584171907,0.16078813438072723,0.12229436492093448,0.12195371209385666,0.19791929253220872,0.1546563834933266,0.12229436492093448,0.36194362877017516,0.29273660042104693,0.12399762905632354,0.12399762905632354,0.18974362468234124,0.1914468888177303,0.12331632340216792,0.22466053945781697,0.15772225893702693,0.30454362740756385,0.11956914230431198,0.18650742282510202,0.10764629335658857,0.1586283954570539,0.16181009286196066,0.17468676972550193,0.10282946238170831,0.298384624293997,0.6189661868003843,0.2630316738998617,0.4983750860148388,1.0,0.40303317277230083,0.5996988629008633,0.6825865087854364,0.24513377436519343,0.386770406807606,0.2950734788148007,0.6366801338084305,0.3849921990502599,0.869577658624989,0.4320431675262472,0.3517785484101732,0.4545875716222568,0.4150650306246892,0.5633988976474517,0.36136451896414296,0.5947866491344012,0.32030222718818335,0.36949249541821944,0.40700518473602804,0.275969668272277,0.16979499512866453,0.19815093645462173,0.3492440913767144,0.28800152612466534,0.2256824979390504,0.25397712175613346,0.5502428854657064,0.24539948357031405,0.2444592817675795,0.3069622624798163,0.20889512662065585,0.40880383166299894,0.37047357556020355,0.28626419670656844,0.23425332306832813,0.36613365854323227,0.2736600421046894,0.35232359293349774,0.22960000545044523,0.4962630384869564,0.2258528243525893,0.13660178365820258,0.3099395681884764,0.4173678437357352,0.18122730400539594,0.14171157606436977,0.19791929253220872,0.1716890248472172,0.17594718518568986,0.19825994535928654,0.1853151379303297,0.14307418737268102,0.27879027368048126,0.19928190384051997,0.1767988172533844,0.14477745150807006,0.4055131253534273,0.20507300190084277,0.14239288171852538,0.1427335345456032,0.39493244854439047,0.16351335699734973,0.18706609346150962,0.1996225566675978,0.3091765058558221,0.12944807428956853
P3,0.12672512815237705,0.11715013115259991,0.22705258104887793,0.10958099744552452,0.0923640041831679,0.12672512815237705,0.1052949647688114,0.22865984330264535,0.1052949647688114,0.12872241937972534,0.1087237909101819,0.09279260745083921,0.12715373142004835,0.10443775823346878,0.1274366095767114,0.10715081691782818,0.1292967477584049,0.12100756056164175,0.0908638927463183,0.11207975449604829,0.11207975449604829,0.11272265939755526,0.10257762005177529,0.07736288981467195,0.10543640384714294,0.14499648545320512,0.6063193265785459,0.16322498242726602,0.6359186682439267,1.0,0.5155625846491454,0.24334807728574123,0.19593598381594063,0.13927034579711628,0.21140427574619833,0.1454808071456737,0.2030550840919612,0.14291775960499925,0.2221922199934853,0.6032290970186356,0.23511460851377539,0.38588437998251296,0.12693942978621273,0.13519432872156217,0.16574516964117333,0.15276277666340926,0.2299070788115688,0.2567033551063793,0.10172041351643266,0.19498019852903362,0.09729294176138799,0.11883025596187147,0.09472132215536012,0.14535651219804901,0.15672735688936895,0.06637778806425618,0.11986747586963602,0.15700594901335527,0.1335270620103208,0.004688919748324185,0.07673284301119514,0.1125812203192237,0.1695211644293576,0.15405715853177668,0.16969260573642614,0.21294724750981503,0.15588300845205647,0.1635421488453428,0.19330007371976204,0.15772600250304308,0.28844999914279346,0.2873356306468481,0.14165337996536886,0.5461991462222908,0.2699386240120695,0.2626266522655969,0.13961751444393014,0.1945515952613623,0.1284095389943253,0.13222410807659998,0.18249927137444497,0.16715527439181196,0.20924411527713488,0.11036534142536303,0.12643796396303728,0.11572288227125445,0.20607245109636718,0.13315417716744674,0.07779149308234326,0.19312863241269354,0.07757719144850761,0.11658008880659707,0.2345531382331259,0.1314397640967615,0.09943595809974456,0.2166589518078486
