,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
P0,0.19018789144050105,0.338062630480167,0.14488517745302715,0.20793319415448852,0.18538622129436325,0.1750313152400835,0.14154488517745303,0.18889352818371608,0.14488517745302715,0.3088350730688935,0.2082087682672234,0.18705636743215032,0.1453027139874739,0.3210855949895616,0.2217954070981211,0.18663883089770356,0.14488517745302715,0.3537035490605428,0.18997912317327767,0.14363256784968684,0.14237995824634656,0.3427473903966597,0.18413361169102296,0.14237995824634656,0.260901878914405,0.39196659707724424,0.19645093945720252,0.15356993736951985,0.19582463465553235,0.36990396659707725,0.24517745302713984,0.2020292275574113,0.3413945720250522,0.38797494780793323,0.28225469728601255,0.44617118997912314,0.3220626304801671,0.34711482254697285,0.2606096033402922,0.321302713987474,0.31483089770354916,0.3834405010438413,0.26307306889352816,0.3408851774530271,0.3664885177453026,0.22011691022964502,0.22965344467640927,0.45888935281837157,1.0,0.274070981210856,0.35954070981210845,0.4548893528183716,0.2768851774530272,0.5108141962421713,0.36454279749478075,0.26822546972860123,0.4062379958246346,0.44991231732776615,0.2670563674321503,0.25317745302713984,0.425553235908142,0.24592901878914405,0.21473068893528183,0.22713987473903965,0.43625887265135704,0.2964509394572025,0.2769937369519833,0.3980542797494781,0.40751565762004177,0.3093945720250522,0.2997912317327766,0.3874739039665971,0.3989812108559499,0.2918580375782881,0.5133444676409186,0.41475574112734864,0.3983298538622129,0.3742296450939457,0.2771022964509394,0.2416367432150313,0.49630897703549065,0.46277244258872646,0.37160751565762007,0.3315240083507307,0.5194154488517745,0.3994989561586639,0.3419624217118998,0.3286012526096033,0.2801670146137787,0.3383465553235908,0.1661795407098121,0.155741127348643,0.4257703549060543,0.23098121085594991,0.14488517745302715,0.20643006263048017
P1,0.13673845435520315,0.17592569432285285,0.3360097384460175,0.48513803079950313,0.18509717601740916,0.37061123756638903,0.36352418352968646,0.44829368751928095,0.3824924752161552,0.14757747817604244,0.3829760624327772,0.3320493258960955,0.24811359296964242,0.31121338702818985,0.44412483220357357,0.322110774823449,0.43005911436837674,0.3952074839290628,0.3048350383951575,0.19863761808282684,0.06402527993863442,0.095149953725706,0.044156515503972954,0.3801495785287275,0.2684742823315574,0.4516871357462666,0.12473215104596573,0.23576544352451703,0.3381775432101853,0.3290227369368918,0.2812976812826735,0.23477325595937865,0.30331757506023993,0.23877535706245753,0.40923985092173387,0.2535747934332192,0.28473281806281636,0.2697916406113209,0.2600615323044597,0.20283982424106045,0.251623769145468,0.3547695873667009,0.26831586582956085,0.2088179627637842,0.019026655660888393,0.22952049826158713,0.2817896062099267,0.3340587141582663,0.38632782210660593,0.2145793208100921,0.042830819513578255,0.21584665282606713,0.388862486138556,0.45172048658879227,0.5471372470547036,0.4273827092556927,0.2705587099894111,0.32012639969317214,0.3105797210202023,0.16427791257076613,0.27404387303334277,0.2825650132986486,0.2712840908143441,0.2116277712465711,0.27839615798294115,0.2757531037127825,0.053919974653359654,0.1393314823615732,0.2594528794283666,0.26757380958336463,0.5000541951191042,0.36977746650324755,0.3306069019568607,0.321126924968942,0.34440581305185225,1.0,0.567381208467779,0.47566639152221585,0.6067101895161626,0.6542351401152272,0.2951549563520849,0.41021536306560946,0.42883347090555884,0.1926011155856825,0.4109073930480169,0.3808249330898722,0.19301800111725323,0.3670677105480378,0.40979847753403875,0.2465461033709364,0.34208792949631894,0.13757222541834466,0.1342371411657787,0.17092306794400394,0.3937483845685652,0.3764476350083794
P2,0.16855039088540089,0.16892915580873888,0.13218895824495486,0.16968668565541484,0.16892915580873888,0.13067389855160294,0.13105266347494093,0.166277801345373,0.166656566268711,0.1314314283982789,0.35891764135506943,0.16968668565541484,0.1318101933216169,0.2016923216774741,0.17347433488879463,0.13218895824495486,0.1314314283982789,0.19904096721410824,0.16741409611538696,0.1314314283982789,0.25074237924974246,0.20301799890915703,0.17461062965880858,0.1980940549057633,0.2424095509363069,0.1833222228955821,0.1486046300224229,0.26261287194715477,0.7148127386219018,0.22750893885219078,0.3708866129325496,0.32819980607235927,0.32460153930064845,0.22257741955033025,0.2616508090418763,0.3439185503908854,0.2660823586449306,0.2566965638446156,0.35641779286103875,0.3026331737470456,0.3022544088237077,0.36550815102115025,0.3406990485425126,0.6392264105205745,1.0,0.5305208775225744,0.2926868068601902,0.4737061390218774,0.30079995151808975,0.2585676625659051,0.2388112841645961,0.2821798678867948,0.259075207563178,0.27721804739106726,0.3672731955639052,0.4833570692685292,0.28114962729531534,0.35738743106478393,0.2742258044966972,0.21943367068662503,0.2110932670747228,0.28583873704623963,0.3725153021029029,0.25831767771650205,0.26727925580267864,0.3384264590024847,0.29164899097024427,0.5293542815586935,0.2857175322707715,0.22991030846615357,0.14923337979516393,0.2138734016120235,0.18559481243560996,0.14885461487182597,0.21665353614932428,0.1890036967456518,0.14847584994848798,0.21513847645597237,0.2262514393067087,0.18407975274225805,0.1499909096418399,0.21532785891764136,0.18256469304890613,0.19373825828737654,0.21627477122598632,0.18748863705229987,0.1499909096418399,0.21684291861099328,0.19203381613235562,0.15339979395188172,0.15074843948851585,0.21532785891764136,0.18370098781892008,0.13938549178837648,0.1704442155020908,0.1700654505787528
P3,0.3451134326128101,0.280235207690009,0.2540093634824186,0.283737175017432,0.3310215160872597,0.23766684928777768,0.26708337483813127,0.3039334097021616,0.2727892469369459,0.27320637015639004,0.26334794302221337,0.24529335591194343,0.278445313278215,0.25348951588803664,0.2602973403725471,0.3368892568980974,0.1998985207690009,0.19293505329216057,0.27313477437991834,0.2630366570375535,0.23969020818806655,0.18814124912839925,0.19336151509114452,0.39677134176710827,0.12184667297539596,0.07662304512401634,0.13677906165952783,0.13966195898495867,0.1425448563103895,0.1454277536358203,0.14831065096125112,0.15119354828668197,0.15407644561211278,0.1569593429375436,0.15984224026297444,0.1948222245741608,0.2298022088853472,0.26478219319653357,0.2997621775077199,0.2083359273832055,0.11690967725869109,0.11718023666035791,0.11745079606202476,0.11772135546369158,0.11799191486535843,0.11826247426702526,0.11853303366869208,0.11880359307035893,0.11907415247202575,0.1193447118736926,0.11961527127535942,0.11988583067702627,0.1201563900786931,0.12042694948035992,0.12069750888202677,0.1209680682836936,0.12123862768536044,0.12150918708702727,0.12177974648869411,0.12205030589036094,0.12232086529202778,0.1225914246936946,0.12286198409536143,0.12313254349702828,0.1234031028986951,0.21789707640203212,0.24963890825779458,0.16634500448251818,0.18397001693395756,0.2096044177706943,0.181053267257695,0.10962558521765116,0.13895806355214663,0.4503125311285984,0.37191826875186773,0.3276284988544676,0.6874595328219941,1.0,0.6722251967327424,0.6369315917920112,0.588000547863333,0.28532473353919713,0.2846399043729455,0.33017170534913837,0.2774678752863831,0.31110855164857054,0.43310152903675664,0.3675913935650962,0.2905854666799482,0.286937194939735,0.32258255304313177,0.29245318258790715,0.3486122870803865,0.2805713965534416,0.25136343261281,0.3175117043530232
