date,building_name,user_type,cluster
2024-04-11,DU_5,consumer,2
2024-04-12,DU_5,consumer,3
2024-04-13,DU_5,consumer,3
2024-04-14,DU_5,consumer,0
2024-04-15,DU_5,consumer,4
2024-04-16,DU_5,consumer,0
2024-04-17,DU_5,consumer,4
2024-04-18,DU_5,consumer,0
2024-04-19,DU_5,consumer,0
2024-04-20,DU_5,consumer,2
2024-04-21,DU_5,consumer,4
2024-04-22,DU_5,consumer,0
2024-04-23,DU_5,consumer,0
2024-04-24,DU_5,consumer,0
2024-04-25,DU_5,consumer,4
2024-04-26,DU_5,consumer,4
2024-04-27,DU_5,consumer,4
2024-04-28,DU_5,consumer,1
2024-04-29,DU_5,consumer,0
2024-04-30,DU_5,consumer,2
2024-05-01,DU_5,consumer,3
2024-05-02,DU_5,consumer,3
2024-05-03,DU_5,consumer,0
2024-05-04,DU_5,consumer,2
2024-05-05,DU_5,consumer,0
2024-05-06,DU_5,consumer,0
2024-05-07,DU_5,consumer,4
2024-05-08,DU_5,consumer,1
2024-05-09,DU_5,consumer,3
2024-05-10,DU_5,consumer,4
2024-05-11,DU_5,consumer,0
2024-05-12,DU_5,consumer,4
2024-05-13,DU_5,consumer,2
2024-05-14,DU_5,consumer,2
2024-05-15,DU_5,consumer,0
2024-05-16,DU_5,consumer,1
2024-05-17,DU_5,consumer,0
2024-05-18,DU_5,consumer,0
2024-05-19,DU_5,consumer,2
2024-05-20,DU_5,consumer,4
2024-05-21,DU_5,consumer,3
2024-05-22,DU_5,consumer,1
2024-05-23,DU_5,consumer,4
2024-05-24,DU_5,consumer,0
2024-05-25,DU_5,consumer,3
2024-05-26,DU_5,consumer,2
2024-05-27,DU_5,consumer,0
2024-05-28,DU_5,consumer,1
2024-05-29,DU_5,consumer,3
2024-05-30,DU_5,consumer,1
2024-05-31,DU_5,consumer,1
2024-03-04,DU_6,consumer,1
2024-03-05,DU_6,consumer,3
2024-03-06,DU_6,consumer,3
2024-03-07,DU_6,consumer,3
2024-03-08,DU_6,consumer,3
2024-03-09,DU_6,consumer,4
2024-03-10,DU_6,consumer,3
2024-03-11,DU_6,consumer,3
2024-03-12,DU_6,consumer,4
2024-03-13,DU_6,consumer,2
2024-03-14,DU_6,consumer,2
2024-03-15,DU_6,consumer,1
2024-03-16,DU_6,consumer,2
2024-03-17,DU_6,consumer,1
2024-03-18,DU_6,consumer,2
2024-03-19,DU_6,consumer,2
2024-03-20,DU_6,consumer,2
2024-03-21,DU_6,consumer,2
2024-03-22,DU_6,consumer,1
2024-03-23,DU_6,consumer,3
2024-03-24,DU_6,consumer,0
2024-03-25,DU_6,consumer,2
2024-03-26,DU_6,consumer,0
2024-03-27,DU_6,consumer,3
2024-03-28,DU_6,consumer,2
2024-03-29,DU_6,consumer,2
2024-03-30,DU_6,consumer,2
2024-03-31,DU_6,consumer,2
2024-04-01,DU_6,consumer,2
2024-04-02,DU_6,consumer,2
2024-04-03,DU_6,consumer,1
2024-04-04,DU_6,consumer,3
2024-04-05,DU_6,consumer,0
2024-04-06,DU_6,consumer,4
2024-04-07,DU_6,consumer,1
2024-04-08,DU_6,consumer,0
2024-04-09,DU_6,consumer,1
2024-04-10,DU_6,consumer,4
2024-04-11,DU_6,consumer,1
2024-04-12,DU_6,consumer,4
2024-04-13,DU_6,consumer,4
2024-04-14,DU_6,consumer,4
2024-04-15,DU_6,consumer,0
2024-04-16,DU_6,consumer,4
2024-04-17,DU_6,consumer,2
2024-04-18,DU_6,consumer,1
2024-04-19,DU_6,consumer,3
2024-04-20,DU_6,consumer,3
2024-04-21,DU_6,consumer,3
2024-04-22,DU_6,consumer,3
2024-04-23,DU_6,consumer,3
2024-04-24,DU_6,consumer,3
2024-04-25,DU_6,consumer,3
2024-04-26,DU_6,consumer,3
2024-04-27,DU_6,consumer,4
2024-04-28,DU_6,consumer,1
2024-04-29,DU_6,consumer,2
2024-04-30,DU_6,consumer,2
2024-05-01,DU_6,consumer,2
2024-05-02,DU_6,consumer,1
2024-05-03,DU_6,consumer,2
2024-05-04,DU_6,consumer,2
2024-05-05,DU_6,consumer,2
2024-05-06,DU_6,consumer,1
2024-05-07,DU_6,consumer,3
2024-05-08,DU_6,consumer,3
