train,validation
0.08035987427067612,0.03759364450290319
0.023118706525213296,0.015267501742909513
0.014318245440541257,0.013344046892598271
0.013247006640378986,0.012652105358879893
0.012734269609932052,0.012163163087661228
0.012524943623218624,0.011896899127731881
0.01219717301371988,0.011675460647130686
0.011964254096270568,0.011509211598745277
0.011902215331041764,0.011445383901797956
0.011859113980467701,0.011202657647851494
0.011616300712640007,0.011100013094443468
0.011521395502401697,0.011119537179418389
0.011428759684936413,0.010921422264448578
0.011361859292880963,0.010860604219018452
0.011310813336392804,0.010778997130992432
0.011379516194386768,0.010711015844266982
0.011179700236102836,0.01063157155388786
0.011128633910219276,0.010589228477329016
0.011071530931193622,0.010550252822858671
0.011001415438987616,0.010444519654547254
0.011030351201395294,0.010378187210599502
0.010865914439144093,0.010337364210206415
0.010856882440895143,0.010386403308310095
0.010751021409129364,0.010228254727178043
0.010730878620844094,0.010119342425417515
0.01064293957672142,0.010072056128973923
0.010548643074035946,0.009976028727607862
0.01051090297856248,0.009914678078325044
0.01048088894270721,0.009843893923736628
0.010408810005643435,0.009809187215362345
0.010336225754731605,0.009760778374789704
0.010260105129301308,0.009694739135973636
0.0102304138943568,0.009603570444479344
0.010262449002531808,0.009691227524120721
0.010085481510970802,0.009548627733883838
0.010115756189465643,0.009485425558992691
0.010012701052361198,0.009479452484107066
0.009932061805645185,0.009325915466873877
0.009917769355759505,0.009802038773834225
0.009905590672954736,0.009227891332439838
0.00979870144886175,0.009184068418107927
0.009758238537019239,0.009135456143638058
0.00967111301724799,0.00908331811473134
0.00969671165934884,0.009028518692620339
0.00961340063921882,0.009026806703918883
0.00968462664675298,0.009055049894678016
0.009636559747084375,0.009200950228278675
0.009494447936078594,0.008883963744606703
0.009403929478374325,0.008829962225600837
0.00938540332971306,0.00889565308968867
0.009408059225778186,0.008759709274125916
0.009392624150120443,0.008728412700997244
0.009282030126703303,0.008689964877351398
0.00929473938172563,0.008673190327000714
0.009215852391911715,0.008641726712906552
0.009277186056058253,0.00858731217111551
0.009178349383751817,0.008645558699725135
0.009149540413824481,0.00853211943796205
0.009126979846417183,0.00858596149050901
0.009101032355477313,0.008497301838360727
0.009061165221576248,0.008496920161339785
