train,validation
0.04630389347383787,0.018264407634406406
0.013503464502437088,0.011737121707376312
0.010100505612893683,0.009972059099441943
0.009143353253431151,0.009483238733510542
0.008807410860633498,0.009261106407982023
0.008624780679128486,0.00918235962950241
0.008506059722211967,0.009146640649037984
0.00842874272764279,0.00905086733537781
0.008358099203165001,0.008923256132916054
0.008258852074988103,0.008933700607432163
0.008201660959967636,0.008857729916652554
0.008175145467825756,0.008755914117072654
0.008117733979460223,0.008648680591517511
0.008033983311461237,0.008666164323906688
0.007977599095522231,0.008624817436451422
0.00793752706965356,0.008577879151904626
0.007934517270930084,0.008586236645522364
0.007883868161313978,0.008490524901871514
0.007863467188064023,0.008487654935486396
0.007813589222560813,0.008399139862055616
0.007805453319999482,0.00842102522865924
0.0077625290083448055,0.008319497649448322
0.00775502009508011,0.008340740615762222
0.007710866799760211,0.008295931891017757
0.007701791495143185,0.008271638232091552
0.0076592596852636426,0.008224076778039007
0.007663503752306544,0.008217181438607547
0.007608693496434093,0.008299716827048756
0.007624700372932115,0.008363853869548835
0.007620626469434847,0.008210256548516233
0.007590330569709332,0.008300447817686397
0.007577648975309053,0.008198899603859685
0.007552507416365799,0.00814161669319112
0.007536200607174877,0.00826100293574307
0.007548002898177593,0.008103871392770945
0.007549073346512482,0.008124845557818738
0.0075269545633792605,0.008103533216532977
0.007533172507189572,0.008190051857929896
0.007509257595443143,0.008065196740276673
0.007488624174732069,0.008098416122854413
0.007486584429660077,0.008097230350626084
0.0074690959989385354,0.008061141042750986
0.007475671455490908,0.008150035333956647
0.007463472939570644,0.008048955536009195
0.007465672044760489,0.008075959879480413
0.007477810502832419,0.008036334339789498
0.00747620611025426,0.008118808000718299
0.007449197569154065,0.008044480534462148
0.00743153203077738,0.008127277590307024
0.007440157458907839,0.008021594730534536
0.007421537166258588,0.008072947175926803
0.007420549337147319,0.008078889212543693
0.007433578363410112,0.008281925528803292
0.007421685716075431,0.008081591467249809
0.007407881065213373,0.008052643308046219
0.0074052538042303825,0.008012519349850825
0.0074294561621598984,0.008032867698656285
0.007401522803996652,0.008003610288998222
0.007423139926444781,0.008062056216123678
0.007382767961439557,0.007999055536107762
0.007391537612259415,0.007998138245003408
