hour,LT,HT
2,10.57,13.96
3,34.61,44.45
4,121.73,162.37
5,220.36,296.89
6,301.38,394.56
7,314.05,412.16
8,765.61,1012.37
9,1382.34,1810.09
10,1159.28,1511.72
11,1416.23,1832.07
12,1493.55,1917.88
13,1388.68,1758.0
14,1300.18,1664.56
15,1134.58,1471.96
16,816.78,1092.32
17,343.88,457.4
18,177.53,227.63
19,125.37,158.84
20,126.51,163.16
21,125.69,158.74
22,135.63,167.67
23,148.15,180.62
