hour,LT,HT
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,81.78,116.07
4,193.94,247.48
5,218.47,277.74
6,276.63,350.74
7,720.65,945.3
8,1255.35,1653.6
9,1478.73,1950.22
10,1283.6,1709.84
11,1197.25,1593.96
12,1042.69,1391.24
13,1010.38,1328.07
14,630.5,824.67
15,412.4,544.59
16,250.51,328.43
17,203.38,258.68
18,229.74,293.6
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
