hour,LT,HT
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,1.05,1.56
4,123.64,175.85
5,328.6,457.8
6,480.85,655.85
7,617.04,827.63
8,606.25,800.72
9,735.63,979.36
10,795.83,1071.42
11,838.35,1119.47
12,767.29,1039.59
13,665.31,889.83
14,429.45,559.42
15,276.32,366.04
16,193.88,256.67
17,222.78,306.67
18,107.66,154.45
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
