hour,LT,HT
0,41.38,55.16
1,40.18,52.08
2,42.22,54.37
3,49.3,64.77
4,43.98,58.02
5,66.57,86.67
6,133.97,176.2
7,205.14,271.67
8,309.19,409.39
9,376.29,499.19
10,538.98,721.01
11,677.08,909.52
12,680.14,923.04
13,535.72,715.12
14,331.74,436.92
15,272.05,356.51
16,112.95,147.21
17,63.03,84.37
18,34.83,47.08
19,9.83,12.8
23,63.5,83.48
