hour,LT,HT
0,206.71,279.58
1,172.79,231.68
2,187.95,244.64
3,191.33,248.26
4,167.47,220.77
5,341.21,458.61
6,575.06,769.38
7,968.44,1305.49
8,1113.32,1490.38
9,1384.88,1841.24
10,1480.58,1993.86
11,1617.99,2162.76
12,1453.16,1958.73
13,1217.67,1618.62
14,877.87,1170.9
15,543.29,723.27
16,371.74,476.33
17,194.76,253.75
18,122.89,162.04
19,142.18,194.32
20,225.1,305.52
21,286.47,377.48
22,285.07,380.19
23,285.25,388.7
